ecotype_size,npop,omega,sigma,likelihood
5,3,0.00112,0.16654,0.093100
5,3,0.00043,0.20512,0.10400
5,3,0.00204,0.18822,0.10610
5,3,0.00111,0.10206,0.13650
9,5,0.01885,0.17808,0.0025000
5,3,0.00194,0.14938,0.10770
5,3,0.00064,0.16762,0.11640
5,3,0.00046,0.14124,0.10870
5,3,0.00031,0.10429,0.12480
5,3,0.01548,0.14630,0.099100
5,3,0.00194,0.19948,0.11070
5,3,0.00172,0.16176,0.12170
5,3,0.00027,0.14739,0.10460
5,3,0.00103,0.12276,0.11030
5,3,0.00127,0.15694,0.11030
5,3,0.00187,0.13748,0.13020
5,3,0.00075,0.14388,0.12910
5,3,0.00164,0.16987,0.095400
5,3,0.00140,0.12796,0.11720
5,3,0.00119,0.11356,0.00010000
5,3,0.00028,0.10081,0.13110
5,3,0.00043,0.13758,0.12700
5,3,0.00158,0.15073,0.13340
5,3,0.00163,0.15470,0.12710
5,3,0.00069,0.17611,0.092000
5,3,0.00072,0.17236,0.13570
5,3,0.00025,0.23838,0.12520
5,3,0.00182,0.15674,0.13240
5,3,0.00193,0.15638,0.12860
5,3,0.00064,0.15235,0.11950
5,3,0.00152,0.16889,0.10020
5,3,0.00199,0.16223,0.12230
5,3,0.00118,0.13755,0.12760
5,3,0.00211,0.17874,0.12510
5,3,0.00050,0.20604,0.12660
5,3,0.00091,0.16500,0.13050
5,3,0.00072,0.17286,0.12290
5,3,0.00136,0.20076,0.12010
5,3,0.00108,0.16860,0.11280
5,3,0.00213,0.15088,0.13770
5,3,0.00129,0.11710,0.12960
5,3,0.00038,0.11292,0.13140
5,3,0.00170,0.16394,0.11220
1,2,0.00239,0.16031,0.023600
5,3,0.00422,0.19000,0.11370
1,2,0.00264,0.17736,0.028300
5,3,0.00079,0.17918,0.13080
5,3,0.00033,0.12404,0.13760
5,3,0.00215,0.16050,0.11390
5,3,0.00076,0.15523,0.12920
5,3,0.00139,0.21042,0.11270
5,3,0.00224,0.17220,0.097800
5,3,0.00106,0.14523,0.097800
5,3,0.00150,0.11226,0.12460
5,3,0.00146,0.18628,0.11540
5,3,0.00217,0.17744,0.094700
5,3,0.00192,0.16596,0.12530
1,2,0.00159,0.10616,0.027800
5,3,0.00073,0.12188,0.12230
5,3,0.00034,0.13757,0.11110
1,2,0.00145,0.18205,0.036600
5,3,0.00123,0.10000,0.12630
5,3,0.00111,0.15789,0.11820
5,3,0.00173,0.14482,0.13660
5,3,0.00086,0.13865,0.11400
5,3,0.00060,0.12019,0.10270
5,3,0.00047,0.12954,0.13000
1,2,0.00056,0.08794,0.034900
5,3,0.00166,0.16912,0.095900
5,3,0.00159,0.19242,0.12720
5,3,0.00059,0.14939,0.10550
5,3,0.00282,0.17382,0.11180
5,3,0.00064,0.14775,0.10960
5,3,0.00049,0.14752,0.10960
1,2,0.00177,0.12524,0.035100
5,3,0.00095,0.15570,0.12430
1,2,0.00338,0.21823,0.023000
5,3,0.00061,0.13913,0.12950
5,3,0.00122,0.14684,0.13500
5,3,0.00065,0.11619,0.12570
5,3,0.00038,0.15526,0.12860
5,3,0.00080,0.12516,0.13460
1,2,0.00455,0.26989,0.026200
5,3,0.00043,0.13691,0.12620
5,3,0.00243,0.18048,0.10450
5,3,0.00077,0.19708,0.13070
5,3,0.00005,0.12902,0.11890
1,2,0.00284,0.17817,0.030100
5,3,0.00050,0.12398,0.13380
5,3,0.00061,0.22286,0.11930
5,3,0.00042,0.12544,0.12110
5,3,0.00097,0.14253,0.13650
1,2,0.00220,0.17002,0.026000
5,3,0.00081,0.09244,0.13410
5,3,0.00037,0.11537,0.13410
5,3,0.00155,0.14561,0.10510
5,3,0.00232,0.17593,0.097100
5,3,0.00138,0.16526,0.11450
