ecotype_size,npop,omega,gene_numebr
5,3,0.00072,3
5,3,0.00136,3
5,3,0.00108,3
5,3,0.00213,3
5,3,0.00129,3
5,3,0.00038,3
5,3,0.00170,3
1,2,0.00239,3
5,3,0.00422,3
1,2,0.00264,3
5,3,0.00079,3
5,3,0.00033,3
5,3,0.00215,3
5,3,0.00076,3
5,3,0.00139,3
5,3,0.00224,3
5,3,0.00106,3
5,3,0.00150,3
5,3,0.00146,3
5,3,0.00217,3
5,3,0.00192,3
1,2,0.00159,3
5,3,0.00073,3
5,3,0.00034,3
1,2,0.00145,3
5,3,0.00123,3
5,3,0.00111,3
5,3,0.00173,3
5,3,0.00086,3
5,3,0.00060,3
5,3,0.00047,3
1,2,0.00056,3
5,3,0.00166,3
5,3,0.00159,3
5,3,0.00059,3
5,3,0.00282,3
5,3,0.00064,3
5,3,0.00049,3
1,2,0.00177,3
5,3,0.00095,3
1,2,0.00338,3
5,3,0.00061,3
5,3,0.00122,3
5,3,0.00065,3
5,3,0.00038,3
5,3,0.00080,3
1,2,0.00455,3
5,3,0.00043,3
5,3,0.00243,3
5,3,0.00077,3
5,3,0.00005,3
1,2,0.00284,3
5,3,0.00050,3
5,3,0.00061,3
5,3,0.00042,3
5,3,0.00097,3
1,2,0.00220,3
5,3,0.00081,3
5,3,0.00037,3
5,3,0.00155,3
5,3,0.00232,3
5,3,0.00138,3
5,3,0.00139,3
5,3,0.00203,3
5,3,0.00023,3
5,3,0.00046,3
5,3,0.00101,3
5,3,0.00178,3
6,4,0.00001,3
5,3,0.00069,3
5,3,0.00046,3
5,3,0.00093,3
5,3,0.00065,3
5,3,0.00125,3
1,2,0.00267,3
5,3,0.00084,3
5,3,0.00097,3
5,3,0.00163,3
5,3,0.00100,3
5,3,0.00070,3
5,3,0.00245,3
5,3,0.00237,3
5,3,0.00104,3
5,3,0.00121,3
5,3,0.00095,3
5,3,0.00043,3
6,4,0.00010,3
5,3,0.00086,3
1,2,0.00282,3
5,3,0.00020,3
1,2,0.00189,3
5,3,0.00062,3
5,3,0.00331,3
5,3,0.00210,3
5,3,0.00063,3
5,3,0.00136,3
5,3,0.00158,3
5,3,0.00139,3
5,3,0.00125,3
5,3,0.00127,3
5,3,0.00137,3
5,3,0.00042,3
5,3,0.00045,3
