StrainName,CloneID,ChrisName,LabName,CollectionSite,Species,Soil_Type,Elevation,Elevation_class,Elevation group in meters,Lat_Degrees,Lat_Min,Lon_Degrees,Lon_Min,Date,Lat,Lon,calc_elevation,final_elevation
CBP-1928*,sp_collection87_4,S12C1,S12C1,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-1932,sp_collection87_3,S12C5,S12C5,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2403*,sp_collection87_7,S12C10,S12C10,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2404*,sp_collection87_8,S12C11,S12C11,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2405*,sp_collection87_5,S12C13,S12C13,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2406*,sp_collection87_2,S12C14,S12C14,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2408,sp_collection87_3,S12C6,S12C6,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2409*,sp_collection87_6,S12C7,S12C7,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-2410*,sp_collection87_1,S12C8,S12C8,S12C,spizizenii,Free,-244.4,Low,Below 0 m,36,17.092,116,53.564,,36.28486667,-116.8927333,-244.4,-244.4
CBP-1933*,sp_collection89_4,S13C1,S13C1,S13C,spizizenii,Free,-240,Low,Below 0 m,36,17.092,116,53.582,,36.28486667,-116.8930333,-240,-240
CBP-1935*,sp_collection89_2,S13C2M,S13C2M,S13C,spizizenii,Free,-240,Low,Below 0 m,36,17.092,116,53.582,,36.28486667,-116.8930333,-240,-240
CBP-2412*,sp_collection89_1,S13C11,S13C11,S13C,spizizenii,Free,-240,Low,Below 0 m,36,17.092,116,53.582,,36.28486667,-116.8930333,-240,-240
CBP-2414*,sp_collection89_3,S13C8,S13C8,S13C,spizizenii,Free,-240,Low,Below 0 m,36,17.092,116,53.582,,36.28486667,-116.8930333,-240,-240
CBP-1944*,sp_collection1_10,S14B2,S14B2,S14B,spizizenii,Free,-236.9,Low,Below 0 m,36,17.092,116,53.599,,36.28486667,-116.8933167,-236.9,-236.9
CBP-1947*,sp_collection91_2,S14C1I,S14C1I,S14C,spizizenii,Free,-236.9,Low,Below 0 m,36,17.092,116,53.599,,36.28486667,-116.8933167,-236.9,-236.9
CBP-1948*,sp_collection91_3,S14C1II,S14C1II,S14C,spizizenii,Free,-236.9,Low,Below 0 m,36,17.092,116,53.599,,36.28486667,-116.8933167,-236.9,-236.9
CBP-1949*,sp_collection91_1,S14C2F,S14C2F,S14C,spizizenii,Free,-236.9,Low,Below 0 m,36,17.092,116,53.599,,36.28486667,-116.8933167,-236.9,-236.9
CBP-1950,sp_collection91_3,S14C2M,S14C2M,S14C,spizizenii,Free,-236.9,Low,Below 0 m,36,17.092,116,53.599,,36.28486667,-116.8933167,-236.9,-236.9
CBP-1961*,sp_collection1_11,S15C6,S15C6,S15C,spizizenii,Free,-236.2,Low,Below 0 m,36,17.09,116,53.611,,36.28483333,-116.8935167,-236.2,-236.2
CBP-1965*,sp_collection93_1,S16B5,S16B5,S16B,spizizenii,Free,-232.7,Low,Below 0 m,36,17.092,116,53.637,,36.28486667,-116.89395,-232.7,-232.7
CBP-1975*,sp_collection94_4,S17C1F,S17C1F,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-1976*,sp_collection94_3,S17C1M,S17C1M,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-1978*,sp_collection94_1,S17C4,S17C4,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-1980*,sp_collection94_5,S17C6,S17C6,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-2423*,sp_collection94_2,S17C3,S17C3,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-2424*,sp_collection94_7,S17C7,S17C7,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-2425*,sp_collection94_6,S17C8,S17C8,S17C,spizizenii,Free,-229.4,Low,Below 0 m,36,17.098,116,53.654,,36.28496667,-116.8942333,-229.4,-229.4
CBP-2427*,sp_collection57_5,S18C10,S18C10,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2429*,ia_collection2_7,S18C12,S18C12,S18C,inaquosorum,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2431*,sp_collection57_2,S18C14,S18C14,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2433*,sp_collection57_1,S18C3,S18C3,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2434*,sp_collection57_3,S18C4,S18C4,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2435*,sp_collection57_4,S18C5,S18C5,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2436*,sp_collection57_6,S18C6,S18C6,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2438*,sp_collection57_7,S18C9,S18C9,S18C,spizizenii,Free,-227.3,Low,Below 0 m,36,17.1,116,53.667,,36.285,-116.89445,-227.3,-227.3
CBP-2442*,ia_collection58_2,S20C7,S20C7,S20C,inaquosorum,Free,-220.9,Low,Below 0 m,36,17.103,116,53.708,,36.28505,-116.8951333,-220.9,-220.9
CBP-2443*,ia_collection58_1,S20C8,S20C8,S20C,inaquosorum,Free,-220.9,Low,Below 0 m,36,17.103,116,53.708,,36.28505,-116.8951333,-220.9,-220.9
CBP-3034*,sp_collection1_32,EC30O1B-J2,EC30O1B-J2,EC30O1FREE,spizizenii,Free,2971,High,Above 800 m,36,27.744,117,12.537,1-Jun-17,36.4624,-117.20895,3066.1,2971
CBP-3077*,ia_collection75_1,EC30O1B-J3,EC30O1B-J3,EC30O1FREE,inaquosorum,Free,2971,Medium,800 - 1220 m,36,27.744,117,12.537,1-Jun-17,36.4624,-117.20895,3066.1,2971
CBP-3088*,ia_collection75_2,EC30O1B-J4,EC30O1B-J4,EC30O1FREE,inaquosorum,Free,2971,Medium,800 - 1220 m,36,27.744,117,12.537,1-Jun-17,36.4624,-117.20895,3066.1,2971
CBP-2113*,sp_collection96_03,WR1O2A-52,WR1O2A-52,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2114*,sp_collection96_04,WR1O2A-53,WR1O2A-53,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2115,sp_collection96_03,WR1O2A-54,WR1O2A-54,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2116,sp_collection96_03,WR1O2A-55,WR1O2A-55,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2117,sp_collection96_03,WR1O2A-56,WR1O2A-56,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2118,sp_collection96_03,WR1O2A-57,WR1O2A-57,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2119,sp_collection96_03,WR1O2A-58,WR1O2A-58,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2121*,sp_collection96_05,WR1O2B-51,WR1O2B-51,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2122*,sp_collection96_01,WR1O2B-53,WR1O2B-53,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2123,sp_collection96_03,WR1O2B-54,WR1O2B-54,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2124,sp_collection96_03,WR1O2B-56,WR1O2B-56,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2125,sp_collection96_03,WR1O2B-57,WR1O2B-57,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2126,sp_collection96_03,WR1O2B-58,WR1O2B-58,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2127*,sp_collection96_09,WR1O2B-59,WR1O2B-59,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2128,sp_collection96_03,WR1O2B-61,WR1O2B-61,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2129*,sp_collection96_12,WR1O2B-62,WR1O2B-62,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2130*,sp_collection96_07,WR1O2B-63,WR1O2B-63,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2131*,sp_collection96_18,WR1O2B-64,WR1O2B-64,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2133,sp_collection96_03,WR1O2B-66,WR1O2B-66,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2134*,sp_collection96_02,WR1O2B-67,WR1O2B-67,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2135*,sp_collection96_16,WR1O2B-68,WR1O2B-68,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2136*,sp_collection96_11,WR1O2B-69,WR1O2B-69,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2137,sp_collection96_03,WR1O2B-70,WR1O2B-70,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2138*,sp_collection96_13,WR1O2B-71,WR1O2B-71,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2139*,sp_collection96_19,WR1O2B-72,WR1O2B-72,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2140*,sp_collection96_06,WR1O2B-73,WR1O2B-73,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2141*,sp_collection96_10,WR1O2B-74,WR1O2B-74,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2142,sp_collection96_03,WR1O2B-75,WR1O2B-75,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2143,sp_collection96_03,WR1O2B-76,WR1O2B-76,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2144*,sp_collection96_17,WR1O2B-77,WR1O2B-77,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2145*,sp_collection96_14,WR1O2B-78,WR1O2B-78,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2146,sp_collection96_04,WR1O2B-79,WR1O2B-79,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2147,sp_collection96_03,WR1O2B-80,WR1O2B-80,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2148,sp_collection96_03,WR1O2C-51,WR1O2C-51,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2149,sp_collection96_04,WR1O2C-52,WR1O2C-52,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2150*,sp_collection96_08,WR1O2C-54,WR1O2C-54,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2151,sp_collection96_04,WR1O2C-55,WR1O2C-55,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2153,sp_collection96_03,WR1O2C-60B,WR1O2C-60B,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2154,sp_collection96_03,WR1O2C-61,WR1O2C-61,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-2155*,sp_collection96_15,WR1O2C-62,WR1O2C-62,WR1O2,spizizenii,Opuntia,2983,High,Above 800 m,36,27.922,117,12.495,27-May-10,36.46536667,-117.20825,3009.3,2983
CBP-1804*,sp_collection1_5,WR1O3B-1,WR1O3B-1,WR1O3,spizizenii,Opuntia,2984,High,Above 800 m,36,27.914,117,12.486,27-May-10,36.46523333,-117.2081,3026,2984
CBP-3035*,sp_collection1_33,EC30O2N-C1-4,EC30O2N-C1-4,EC30O2N-C1,spizizenii,Opuntia,2987,High,Above 800 m,36,27.744,117,12.541,1-Jun-17,36.4624,-117.2090167,3068.8,2987
CBP-3080*,ia_collection2_16,EC30O2B-D2*,EC30O2B-D2*,EC30O2FREE,inaquosorum,Free,2987,Medium,800 - 1220 m,36,27.744,117,12.541,1-Jun-17,36.4624,-117.2090167,3068.8,2987
CBP-1696*,sp_collection81_2,WR1F3B-10,WR1F3B-10,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1697,sp_collection81_2,WR1F3B-10m,WR1F3B-10m,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1698,sp_collection81_3,WR1F3B-11,WR1F3B-11,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1699,sp_collection81_3,WR1F3B-11m,WR1F3B-11m,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1700,sp_collection81_1,WR1F3B-7,WR1F3B-7,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1701,sp_collection81_1,WR1F3B-7m,WR1F3B-7m,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1702*,sp_collection81_5,WR1F3B-8,WR1F3B-8,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-1704*,sp_collection81_4,WR1FB-1m,WR1F3B-1m,WR1F3,spizizenii,Free,2992,High,Above 800 m,36,27.918,117,12.494,27-May-10,36.4653,-117.2082333,3011.6,2992
CBP-3033*,sp_collection70_2,EC30O4N-B4-1,EC30O4N-B4-1,EC30O4,spizizenii,Opuntia,3038,High,Above 800 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3039*,ia_collection70_2,EC30O4N-B4-2,EC30O4N-B4-2,EC30O4,inaquosorum,Opuntia,3038,Medium,800 - 1220 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3071*,ia_collection73_1,EC30O4B-A5,EC30O4B-A5,EC30O4FREE,inaquosorum,Free,3038,Medium,800 - 1220 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3072*,ia_collection73_2,EC30O4B-A7,EC30O4B-A7,EC30O4FREE,inaquosorum,Free,3038,Medium,800 - 1220 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3073*,ia_collection70_1,EC30O4N-B1*,EC30O4N-B1*,EC30O4,inaquosorum,Opuntia,3038,Medium,800 - 1220 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3074*,ia_collection70_3,EC30O4N-B8,EC30O4N-B8,EC30O4,inaquosorum,Opuntia,3038,Medium,800 - 1220 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3079*,sp_collection70_1,EC30O4N-B1,EC30O4N-B1,EC30O4,spizizenii,Opuntia,3038,High,Above 800 m,36,27.767,117,12.485,1-Jun-17,36.46278333,-117.2080833,3051.8,3038
CBP-3030*,ia_collection69_3,EC30O3N-H13,EC30O3N-H13,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3031*,sp_collection74_1,EC30O3B-G1,EC30O3B-G1,EC30O3FREE,spizizenii,Free,3058,High,Above 800 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3032*,sp_collection74_2,EC30O3B-G3-1,EC30O3B-G3-1,EC30O3FREE,spizizenii,Free,3058,High,Above 800 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3041*,ia_collection69_1,EC30O3N-H9*,EC30O3N-H9*,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3066,ia_collection69_1,EC30O3N-H9,EC30O3N-H9,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3076*,ia_collection2_14,EC30O3B-G10,EC30O3B-G10,EC30O3FREE,inaquosorum,Free,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3083*,ia_collection69_4,EC30O3N-H12,EC30O3N-H12,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3084,ia_collection69_1,EC30O3N-H14,EC30O3N-H14,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3085,ia_collection69_1,EC30O3N-H3-1,EC30O3N-H3-1,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3086,ia_collection69_1,EC30O3N-H1,EC30O3N-H1,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3087*,ia_collection69_2,EC30O3N-H3-2,EC30O3N-H3-2,EC30O3,inaquosorum,Opuntia,3058,Medium,800 - 1220 m,36,27.76,117,12.482,1-Jun-17,36.46266667,-117.2080333,3056.8,3058
CBP-3070*,ia_collection72_1,EC30O5B-F9,EC30O5B-F9,EC30O5FREE,inaquosorum,Free,3965,Medium,800 - 1220 m,36,25.573,117,11.602,1-Jun-17,36.42621667,-117.1933667,4040.2,3965
CBP-3075*,ia_collection72_3,EC30O5B-F5,EC30O5B-F5,EC30O5FREE,inaquosorum,Free,3965,Medium,800 - 1220 m,36,25.573,117,11.602,1-Jun-17,36.42621667,-117.1933667,4040.2,3965
CBP-3078*,ia_collection2_15,EC30O5N-E3*,EC30O5N-E3*,EC30O5,inaquosorum,Opuntia,3965,Medium,800 - 1220 m,36,25.573,117,11.602,1-Jun-17,36.42621667,-117.1933667,4040.2,3965
CBP-3081*,ia_collection72_2,EC30O5B-F2-1,EC30O5B-F2-1,EC30O5FREE,inaquosorum,Free,3965,Medium,800 - 1220 m,36,25.573,117,11.602,1-Jun-17,36.42621667,-117.1933667,4040.2,3965
CBP-1708*,ia_collection36_2,WR202A-1,WR2O2A-1,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1709,ia_collection36_2,WR202A-1m,WR2O2A-1m,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1710,ia_collection36_2,WR202A-2,WR2O2A-2,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1711,ia_collection36_2,WR202A-3,WR2O2A-3,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1713*,ia_collection36_1,WR202B-2,WR2O2B-2,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1714,ia_collection36_1,WR202B-2m,WR2O2B-2m,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1715,ia_collection36_1,WR202B-3,WR2O2B-3,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1716,ia_collection36_2,WR202B-4,WR2O2B-4,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1719,ia_collection36_2,WR202B-6,WR2O2B-6,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1720,ia_collection36_2,WR202B-6m,WR2O2B-6m,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-2160,ia_collection36_1,WR2O2B-52,WR2O2B-52,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-2161,ia_collection36_1,WR2O2B-53,WR2O2B-53,WR2O2,inaquosorum,Opuntia,4064,High,1230 - 1800 m,36,25.466,117,11.423,27-May-10,36.42443333,-117.1903833,4093.6,4064
CBP-1721*,ia_collection15_1,WR203A-1,WR2O3A-1,WR2O3,inaquosorum,Opuntia,4070,High,1230 - 1800 m,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1722,ia_collection15_1,WR203A-1m,WR2O3A-1m,WR2O3,inaquosorum,Opuntia,4070,High,1230 - 1800 m,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1723*,sp_collection1_4,WR203A-3,WR2O3A-3,WR2O3,spizizenii,Opuntia,4070,High,Above 800 m,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1724*,ap_collection2_9,WR203B-5,WR2O3B-5,WR2O3,atrophaeus,Opuntia,4070,Low,below 1800 m,36,25.465,117,11.43,27-May-10,36.42441667,-117.1905,4086.9,4070
CBP-1725*,ia_collection37_1,WR2FB-1,WR2F2B-1,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1726*,ia_collection37_7,WR2FB-11a,WR2F2B-11a,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1727,ia_collection37_1,WR2FB-1F,WR2F2B-1F,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1728*,ia_collection37_6,WR2FB-3,WR2F2B-3,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1805*,sp_collection37_2,WR2F2B-10,WR2F2B-10,WR2F2,spizizenii,Free,4070,High,Above 800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1806*,ia_collection37_2,WR2F2B-11,WR2F2B-11,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
CBP-1807*,ia_collection37_5,WR2F2B-12,WR2F2B-12,WR2F2,inaquosorum,Free,4070,High,1230 - 1800 m,36,25.468,117,11.422,27-May-10,36.42446667,-117.1903667,4098.2,4070
